Timespace,AQI,hour,day,month
2025-07-03 00:13:17,93,0,Thursday,7
2025-07-03 00:28:17,97,0,Thursday,7
2025-07-03 00:43:17,97,0,Thursday,7
2025-07-03 00:58:17,97,0,Thursday,7
2025-07-03 01:13:16,84,1,Thursday,7
2025-07-03 01:28:18,84,1,Thursday,7
2025-07-03 01:43:16,84,1,Thursday,7
2025-07-03 01:58:16,84,1,Thursday,7
2025-07-03 02:13:17,88,2,Thursday,7
2025-07-03 02:28:16,86,2,Thursday,7
2025-07-03 02:43:16,86,2,Thursday,7
2025-07-03 02:58:17,86,2,Thursday,7
2025-07-03 03:13:16,89,3,Thursday,7
2025-07-03 03:28:16,95,3,Thursday,7
2025-07-03 03:43:16,95,3,Thursday,7
2025-07-03 03:58:16,95,3,Thursday,7
2025-07-03 04:13:16,85,4,Thursday,7
2025-07-03 04:28:16,88,4,Thursday,7
2025-07-03 04:43:17,88,4,Thursday,7
2025-07-03 04:58:17,88,4,Thursday,7
2025-07-03 05:13:18,90,5,Thursday,7
2025-07-03 05:28:18,90,5,Thursday,7
2025-07-03 05:43:17,90,5,Thursday,7
2025-07-03 05:58:17,90,5,Thursday,7
2025-07-03 06:13:16,87,6,Thursday,7
2025-07-03 06:28:17,96,6,Thursday,7
2025-07-03 06:43:16,96,6,Thursday,7
2025-07-03 06:58:17,96,6,Thursday,7
2025-07-03 07:13:17,102,7,Thursday,7
2025-07-03 07:28:16,101,7,Thursday,7
2025-07-03 07:43:17,101,7,Thursday,7
2025-07-03 07:58:18,101,7,Thursday,7
2025-07-03 08:13:21,102,8,Thursday,7
2025-07-03 08:28:16,102,8,Thursday,7
2025-07-03 08:43:17,102,8,Thursday,7
2025-07-03 08:58:16,102,8,Thursday,7
2025-07-03 09:13:16,99,9,Thursday,7
2025-07-03 09:28:18,105,9,Thursday,7
2025-07-03 09:43:16,105,9,Thursday,7
2025-07-03 09:58:16,105,9,Thursday,7
2025-07-03 10:13:16,115,10,Thursday,7
2025-07-03 10:28:24,115,10,Thursday,7
2025-07-03 10:43:16,115,10,Thursday,7
2025-07-03 10:58:18,115,10,Thursday,7
2025-07-03 11:13:18,99,11,Thursday,7
2025-07-03 11:28:16,111,11,Thursday,7
2025-07-03 11:43:17,111,11,Thursday,7
2025-07-03 11:58:18,111,11,Thursday,7
2025-07-03 12:13:19,84,12,Thursday,7
2025-07-03 12:28:16,91,12,Thursday,7
2025-07-03 12:43:20,91,12,Thursday,7
2025-07-03 12:58:16,91,12,Thursday,7
2025-07-03 13:13:16,79,13,Thursday,7
2025-07-03 13:28:19,84,13,Thursday,7
2025-07-03 13:43:18,84,13,Thursday,7
2025-07-03 13:58:16,84,13,Thursday,7
2025-07-03 14:13:17,74,14,Thursday,7
2025-07-03 14:28:17,82,14,Thursday,7
2025-07-03 14:43:17,82,14,Thursday,7
2025-07-03 14:58:19,82,14,Thursday,7
2025-07-03 15:13:17,67,15,Thursday,7
2025-07-03 15:28:20,71,15,Thursday,7
2025-07-03 15:43:17,71,15,Thursday,7
2025-07-03 15:58:19,71,15,Thursday,7
